ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE
26945,1989,231,Spektakle fabularne TV,Grzechotka,,,,,,"Tł. i adapt. Kazimierz Piotrowski. Reż. Bożena Pijanowska. I, 17 II 1989, 97'",
26946,1989,231,Spektakle fabularne TV,Rozmyślania przy goleniu,,,,,,"Reż. Adam Hanuszkiewicz. I, 9 XII 1989, 54'. Prem. 1969",
26907,1989,231,Spektakle fabularne TV,Maestro,,,,,,"Reż. Marek Nowicki. II, 6 II 1989, 109', [powtórna emisja] I, 3 VII 1989",
26906,1989,231,Spektakle fabularne TV,"A wino lepsze, gdy upija. Wybór wierszy poetów gruzińskich",,,,,,"Oprac. Elżbieta Uroda, Konstanty Ciciszwili. Reż. Konstanty Ciciszwili. II, 8 V 1989, 30'",
26908,1989,231,Spektakle fabularne TV,"Chodzi, chodzi Baj po świecie",,,,,,"Reż. Mieczysław Abramowicz. I, 3 XII 1989, 41'",
26909,1989,231,Spektakle fabularne TV,Jedno życie. Wybór poezji,,,,,,"Oprac. Maria Guzy, Waldemar Janda. Reż. Stanisław Zajączkowski. II, 23 IV 1989, 42'",
26910,1989,231,Spektakle fabularne TV,Kuchenka,,,,,,"Reż. Anna Minkiewicz. I, 25 X 1989, 37'",
26911,1989,231,Spektakle fabularne TV,Zaproszenie do zamku,,,,,,"Tł. Maria Serkowska. Reż. Krystyna Sznerr. I, 3 II 1989, 91'",
26947,1989,231,Spektakle fabularne TV,Samobójca,,,,,,"Tł. Maryla Masłowska. Tł. wierszy i piosenek Wojciech Młynarski. Reż. Kazimierz Kutz. I, 24 IV 1989, 149'; [powtórna emisja:] 14 VIII 1989",
26948,1989,231,Spektakle fabularne TV,Epitafium dla pokolenia,,,,,,"Wybór wierszy poetów: Krzysztof Kamil Baczyński, Tadeusz Gajcy, Andrzej Trzebiński. Adapt. Krystyna Bogusławska, Krystyna Mierzwińska. Reż. Krystyna Bogusławska, Michał Bogusławski. I, 1 VIII 1989, 18'. Prem. 1987",
26949,1989,231,Spektakle fabularne TV,Aktorki,,,,,,"Reż. Sławomir Kryński. II, 28 XII 1989, 69'",
