ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,program_tv,emisje
227884,1993,231,Spektakle fabularne TV,Odludki i poeta,,,,,,"Reż. Andrzej Łapicki. II, 25 VIII 1993. 40'",,Odludki i poeta,,II,"[{'data': '25 VIII 1993', 'czas_min': 40}]"
227885,1993,231,Spektakle fabularne TV,Obsesje,,,,,,"Tł. Ewa Chodkowska. Reż. Gerard Zalewski. II, 8 X 1993, 63'",,Obsesje,,II,"[{'data': '8 X 1993', 'czas_min': 63}]"
227886,1993,231,Spektakle fabularne TV,Okup,,,,,,"Tł. Kazimierz Piotrowski. Reż. Tadeusz Lis. II, 90'",,Okup,,II,[]
227887,1993,231,Spektakle fabularne TV,Kto zabił świętego Mikołaja,,,,,,"Tł. Anna Frąckiewicz. Reż. Anna Minkiewicz. II, 17 XII 1993, 66'",,Kto zabił świętego Mikołaja,,II,"[{'data': '17 XII 1993', 'czas_min': 66}]"
227888,1993,231,Spektakle fabularne TV,Miłości George'a Washingtona,,,,,,"Tł. Ewa Grabowska. Reż. Henryk Kluba. I, 12 IV 1993, 55'",,Miłości George'a Washingtona,,I,"[{'data': '12 IV 1993', 'czas_min': 55}]"
227889,1993,231,Spektakle fabularne TV,Wigilijny gość,,,,,,"Tł. Irena Babel. Reż. Janusz Dymek. I, 20 XI 1993, 82'",,Wigilijny gość,,I,"[{'data': '20 XI 1993', 'czas_min': 82}]"
227890,1993,231,Spektakle fabularne TV,Falanster,,,,,,"Tł. Hanna Kuźniarska. Reż. Krzysztof Lang. I, 27 II 1993, 90'",,Falanster,,I,"[{'data': '27 II 1993', 'czas_min': 90}]"
227891,1993,231,Spektakle fabularne TV,Gasnący płomień,,,,,,"Tł. Halina Bogucka. Reż. Andrzej Łapicki. II, 21 I 1993, 70'",,Gasnący płomień,,II,"[{'data': '21 I 1993', 'czas_min': 70}]"
227892,1993,231,Spektakle fabularne TV,Uśmiech Giocondy,,,,,,"Tł. Jerzy Macierakowski. Reż. Krystyna Szner. II, 12 III 1993, 70'",,Uśmiech Giocondy,,II,"[{'data': '12 III 1993', 'czas_min': 70}]"
227893,1993,231,Spektakle fabularne TV,Oskarżyciel publiczny,,,,,,"Tł. Adam Tarn. Reż. Jan Maciejewski. I, 13 III 1993, 91'",,Oskarżyciel publiczny,,I,"[{'data': '13 III 1993', 'czas_min': 91}]"
227894,1993,231,Spektakle fabularne TV,Justyn! Justyn!,,,,,,"Reż. Stanisław Drozdowski. I, 28 VI 1993, 90'",,Justyn! Justyn!,,I,"[{'data': '28 VI 1993', 'czas_min': 90}]"
227895,1993,231,Spektakle fabularne TV,Wilk stepowy,,,,,,"Tł. Gabriela Mycielska. Reż. Teresa Kotlarczyk. I, 19 VII 1993, 75'",,Wilk stepowy,,I,"[{'data': '19 VII 1993', 'czas_min': 75}]"
227896,1993,231,Spektakle fabularne TV,Drobne przyjemności,,,,,,"Tł. Małgorzata Semil. Reż. Marcin Sławiński. I, 11 IX 1993, 80'",,Drobne przyjemności,,I,"[{'data': '11 IX 1993', 'czas_min': 80}]"
227897,1993,231,Spektakle fabularne TV,Kłamczucha,,,,,,"Reż. Paweł Trzaska. I, 4 XII 1993, 70'",,Kłamczucha,,I,"[{'data': '4 XII 1993', 'czas_min': 70}]"
227898,1993,231,Spektakle fabularne TV,Sztuka przekładu,,,,,,"Tł. Elżbieta Jasińska. Reż. Laco Adamik. I, 13 XII 1993, 95'",,Sztuka przekładu,,I,"[{'data': '13 XII 1993', 'czas_min': 95}]"
227899,1993,231,Spektakle fabularne TV,Jogging,,,,,,"Tł. Małgorzata Semil. Reż. Anna Minkiewicz. I, 20 XII 1993, 105'",,Jogging,,I,"[{'data': '20 XII 1993', 'czas_min': 105}]"
227900,1993,231,Spektakle fabularne TV,Łysa śpiewaczka,,,,,,"Tł. Jerzy Lisowski. Reż. Romuald Szejd. II, 7 XII 1993, 38'",,Łysa śpiewaczka,,II,"[{'data': '7 XII 1993', 'czas_min': 38}]"
227901,1993,231,Spektakle fabularne TV,"Wróć, Kropeczko",,,,,,"Tł. Maria Wisłowska. Reż. Tadeusz Worontkiewicz. I, 18 XII 1993, 103'",,"Wróć, Kropeczko",,I,"[{'data': '18 XII 1993', 'czas_min': 103}]"
227902,1993,231,Spektakle fabularne TV,Noc Walpurgii albo kroki Komandora,,,,,,"Tł. Irena Lewandowska. Reż. Kazimierz Kutz. I, 13 IV 1993, 126'",,Noc Walpurgii albo kroki Komandora,,I,"[{'data': '13 IV 1993', 'czas_min': 126}]"
227903,1993,231,Spektakle fabularne TV,Moskwa - Pietuszki,,,,,,"Tł. Andrzej Drawicz. Adapt. i reż: Tomasz Zygadło. I, 23 VIII 1993, 100'",,Moskwa - Pietuszki,,I,"[{'data': '23 VIII 1993', 'czas_min': 100}]"
227904,1993,231,Spektakle fabularne TV,Wygnańcy,,,,,,"Tł. Zofia i Lucjan Porembscy. Reż. Kazimierz Kutz. I, 10 VIII 1993, 134'",,Wygnańcy,,I,"[{'data': '10 VIII 1993', 'czas_min': 134}]"
227906,1993,231,Spektakle fabularne TV,Miriam,,,,,,"Tł. Irena Lewandowska. Reż. Roman Załuski. I, 25 I 1993, 60'; 14 VIII 1993",,Miriam,,I,"[{'data': '25 I 1993', 'czas_min': 60}, {'data': '14 VIII 1993', 'czas_min': None}]"
227908,1993,231,Spektakle fabularne TV,Kabaret Olgi Lipińskiej,,,,,,"Reż. Olga Lipińska, Iwona Wesoły. II, 3 I, 14 II, 21 III, 25 IV, 23 V, 11 VII, 17 X 1993 [każda cz. 45']",,Kabaret Olgi Lipińskiej,,II,"[{'data': '17 X 1993', 'czas_min': 45}]"
227909,1993,231,Spektakle fabularne TV,Kwartet,,,,,,"Reż. Tomasz Zygadło. I, 20 VII 1993, 125'",,Kwartet,,I,"[{'data': '20 VII 1993', 'czas_min': 125}]"
227910,1993,231,Spektakle fabularne TV,Książę Homburg,,,,,,"Tł. Jacek St. Buras. Reż. Krzysztof Lang. I, 15 XI 1993, 105'",,Książę Homburg,,I,"[{'data': '15 XI 1993', 'czas_min': 105}]"
227911,1993,231,Spektakle fabularne TV,Przygoda w Warszawie,,,,,,"Reż. Marian Terlecki. II, 9 IX 1993, 90'",,Przygoda w Warszawie,,II,"[{'data': '9 IX 1993', 'czas_min': 90}]"
227912,1993,231,Spektakle fabularne TV,Pat,,,,,,"Tł. Ryszard Turczyn. Reż. Robert Gliński. I, 20 IX 1993, 85'",,Pat,,I,"[{'data': '20 IX 1993', 'czas_min': 85}]"
227913,1993,231,Spektakle fabularne TV,[Trzydziesty piąty] 35 maja,,,,,,"Reż. Krzysztof Zaleski. I, 10 X 1993, 54'",,[Trzydziesty piąty] 35 maja,,I,"[{'data': '10 X 1993', 'czas_min': 54}]"
227914,1993,231,Spektakle fabularne TV,Śniadanie u Desdemony,,,,,,"Reż. Jan Buchwald. II, 21 X 1993, 55'",,Śniadanie u Desdemony,,II,"[{'data': '21 X 1993', 'czas_min': 55}]"
227916,1993,231,Spektakle fabularne TV,Obrazki z wystawy,,,,,,"Sc. i reż. Stanisław Lenartowicz, Andrzej Maj.  I, 28 III 1993, 36'",,Obrazki z wystawy,,I,"[{'data': '28 III 1993', 'czas_min': 36}]"
