"ZA_ZAPIS_ID","ZA_RO_ROK","ZA_DZ_DZIAL1_ID","DZ_NAZWA","ZA_RZ_RODZAJ1_ID","RZ_NAZWA","ZA_TYTUL","ZA_TYTUL_CALOSCI","ZA_OPIS_CALOSCI","ZA_TYTUL_ORYGINALU","ZA_TE_TEATR_ID","TE_NAZWA","ZA_OPIS_WSPOLTWORCOW","ZA_JEZYK_ORYGINALU","ZA_TYTUL_ADAPT_DZIELA","ZA_NAZWA_ADAPT_DZIELA","ZA_OPIS_ADAPT_DZIELA","ZA_ADNOTACJE"
225140,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Jak wam się podoba. Prem. 1993,,,,847,Narodowy Stary Teatr im. H. Modrzejewskiej (do 2001: Stary Teatr im. H. Modrzejewskiej),Tł. Maciej Słomczyński. Reż. Tadeusz Bradecki,,,,,
225141,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Zatrute pióro. Prem. 1993,,,,847,Narodowy Stary Teatr im. H. Modrzejewskiej (do 2001: Stary Teatr im. H. Modrzejewskiej),Tł. Michał Ronikier. Reż. Krzysztof Orzechowski,,,,,
225145,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Przedstawienie jubileuszowe z okazji 100-lecia teatru. Prem. 1993,,,,848,Teatr im. J. Słowackiego,Reż. Gustaw Holoubek,,,,"Fragm.: Juliusz Słowacki: Beniowski, Balladyna. Aleksander Fredro: Zemsta.",
225146,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Tańce w Ballybeg. Prem. 1993,,,,848,Teatr im. J. Słowackiego,Tł. Małgorzata Semil. Reż. Bogdan Hussakowski,,,,,
225151,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Juliusz Cezar. Prem. 1993,,,,848,Teatr im. J. Słowackiego,Tł. Stanisław Barańczak. Reż. Jerzy Goliński,,,,,
225157,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Spróbujmy jeszcze raz. Prem. 1993,,,,849,"Teatr Satyry ""Maszkaron""",Tł. Bożena Sławińska. Reż. Jacek Chmielnik,,,,,
225158,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Pan Huczek. Prem. 1993,,,,851,"Teatr Lalki i Maski ""Groteska""",Tł. Joanna Trzcińska-Mejor. Reż. Wiesław Hołdys,,,,,
225160,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Śluby panieńskie. Prem. 1993,,,,246,Teatr im. Heleny Modrzejewskiej (do 1999: Centrum Sztuki - Teatr Dramatyczny),Reż. Andrzej Hrudzewicz,,,,,
225162,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Miniatury. Prem. 1993,,,,1469,Lubuski Teatr im. L. Kruczkowskiego,Reż. aut.,,,,,
225164,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Zabawa. Czarowna noc. Prem. 1993,,,,246,Teatr im. Heleny Modrzejewskiej (do 1999: Centrum Sztuki - Teatr Dramatyczny),Reż. Krzysztof Rościszewski,,,,,
225165,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Audiencja III. Prem. 1993,,,,246,Teatr im. Heleny Modrzejewskiej (do 1999: Centrum Sztuki - Teatr Dramatyczny),Reż. Wojciech Ziemiański,,,,,
225167,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Pan Jowialski. Prem. 1993,,,,852,Teatr im. J. Osterwy,Reż. Romana Próchnicka,,,,,
225169,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Antygona w Nowym Jorku. Prem. 1993,,,,852,Teatr im. J. Osterwy,Reż. Paweł Łysak,,,,,
225170,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Ludowa szopka polska. Prem. 1993,,,,853,Teatr im. H.Ch. Andersena (dawniej Teatr Lalki i Aktora im. H.Ch. Andersena),Reż. Stanisław Ochmański,,,,,
225173,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Tomcio Paluch. Prem. 1993,,,,865,Teatr Lalki i Aktora*,Reż. Tomasz Brzeziński,,,,,
225176,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Ludowa szopka polska. Prem. 1993,,,,865,Teatr Lalki i Aktora*,Reż. Stanisław Ochmański,,,,,
225180,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Wesele Figara. Prem. 1993,,,,854,Teatr im. S. Jaracza,Tł. Tadeusz Boy-Żeleński. Reż. Anna Augustynowicz,,,,,
225181,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Damy i huzary. Prem. 1993,,,,854,Teatr im. S. Jaracza,Reż. Zbigniew Brzoza,,,,,
225184,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Chłopiec z gwiazd. Prem. 1993,,,,854,Teatr im. S. Jaracza,"Tł. Marian Niewiarowski. Adapt. Dawydow J., Dawydow N. Reż. Maciej Małek",,,,,
225192,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Leśmianowy cmentarz. Prem. 1993,,,,858,Teatr Nowy im. K. Dejmka (do 2008: Teatr Nowy),Reż. Dariusz Wiktorowicz,,,,,
225197,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Okno na parlament. Prem. 1993,,,,859,Teatr Powszechny,Tł. Elżbieta Woźniak. Reż. Marcin Sławiński,,,,,
225201,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,"Antygona, Antygona. Prem. 1993",,,,859,Teatr Powszechny,"Tł. Antoni Libera, Janusz Szpotański. Reż. Janusz Szpotański",,,,,
225209,1993,449,"Teatry od 1945 r. (omówienia, repertuar)",291,sztuka teatralna,Ciotka Karola. Prem. 1993,,,,859,Teatr Powszechny,tł. Janusz Minkiewicz. Reż. Marcin Sławiński,,,,,
