ZA_ZAPIS_ID,ZA_RO_ROK,ZA_DZ_DZIAL1_ID,DZ_NAZWA,ZA_TYTUL,ZA_TYTUL_CALOSCI,ZA_TE_TEATR_ID,TE_NAZWA,ZA_OPIS_WSPOLTWORCOW,ZA_NAZWA_ADAPT_DZIELA,ZA_OPIS_ADAPT_DZIELA,ZA_ADNOTACJE,tytul_clean,data_premiery,uwagi
165882,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Wiedźma. Prem. 1992,,846,Teatr Ludowy,Sc. i reż. Paweł Kamza,,"Wg tomu opow. ""Dom wiedźmy na wzgórzu""",,Wiedźma,1992.0,
165883,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Rękopis znaleziony w Saragossie. Prem. 1992,,847,Narodowy Stary Teatr im. H. Modrzejewskiej (do 2001: Stary Teatr im. H. Modrzejewskiej),Tł. Andrzej Chojecki. Adapt. i reż. Tadeusz Bradecki,,,,Rękopis znaleziony w Saragossie,1992.0,
165887,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Kalkwerk. Prem. 1992,,847,Narodowy Stary Teatr im. H. Modrzejewskiej (do 2001: Stary Teatr im. H. Modrzejewskiej),"Tł. Ernest Duczek, Marek Feliks Nowak. Adapt. i reż. Krystian Lupa",,,,Kalkwerk,1992.0,
165889,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Wilk stepowy czyli teatr magiczny tylko dla obłąkanych. Prem. 1992,,847,Narodowy Stary Teatr im. H. Modrzejewskiej (do 2001: Stary Teatr im. H. Modrzejewskiej),Tł. Gabriela Mycielska. Adapt. i reż. Adam Sroka,,,,Wilk stepowy czyli teatr magiczny tylko dla obłąkanych,1992.0,
165891,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Śnieżyca. Prem. 1992,,848,Teatr im. J. Słowackiego,Reż. Zygmunt Konieczny,,"Wg dramatu ""Śnieg"" Stanisława Przybyszewskiego",,Śnieżyca,1992.0,
165892,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Wyzwolenie. Prem. 1992,,848,Teatr im. J. Słowackiego,Reż. Maciej Prus,,,,Wyzwolenie,1992.0,
165893,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Celestyna. Prem. 1992,,848,Teatr im. J. Słowackiego,Tł. Kazimierz Zawanowski. Adapt. i reż. Waldemar Zawodziński,,,,Celestyna,1992.0,
165894,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Sceny z egzekucji. Prem. 1992,,848,Teatr im. J. Słowackiego,Tł. Maria Zborowska. Reż. Andrzej Pawłowski,,,,Sceny z egzekucji,1992.0,
165895,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Para nie para. Prem. 1992,,849,"Teatr Satyry ""Maszkaron""",Tł. Henryk Krzeczkowski. Reż. Andrzej Mrożewski,,,,Para nie para,1992.0,
165896,1992,449,"Teatry od 1945 r. (omówienia, repertuar)","Po górach, po chmurach. Prem. 1992",,849,"Teatr Satyry ""Maszkaron""",Reż. Tomasz Piasecki,,,,"Po górach, po chmurach",1992.0,
166119,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Czekając na Godota. Prem. 1992,,6402,"Krakowski Teatr Scena Stu (do 1997: Teatr ""Stu"")",Tł. Antoni Libera. Reż. Krzysztof Jasiński,,,,Czekając na Godota,1992.0,
166122,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Kubuś fatalista. Prem. 1992,,6402,"Krakowski Teatr Scena Stu (do 1997: Teatr ""Stu"")",Tł. Tadeusz Boy-Żeleński. Reż. Zbigniew Zapasiewicz,,,,Kubuś fatalista,1992.0,
166123,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Hitler - Stalin. Prem. 1992,,6402,"Krakowski Teatr Scena Stu (do 1997: Teatr ""Stu"")",Reż. aut.,,,,Hitler - Stalin,1992.0,
166129,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Wśród nocnej ciszy. Widowisko szopkowe. Prem. 1992,,851,"Teatr Lalki i Maski ""Groteska""",Sc. i reż. Zofia Mikulska,,,,Wśród nocnej ciszy. Widowisko szopkowe,1992.0,
166130,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Podróże Pinokia. Prem. 1992,,851,"Teatr Lalki i Maski ""Groteska""","Reż. Małgorzata Brożonowicz-Sienkiewicz, Włodzimierz Jasiński",,Wg pow. Carla Collodiego,,Podróże Pinokia,1992.0,
166137,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Dedykowane Jałcie. Wiersze Josifa Brodskiego. Prem. 1992,,851,"Teatr Lalki i Maski ""Groteska""","Reż. Zofia Jaremowa, Włodzimierz Jasiński",,,,Dedykowane Jałcie. Wiersze Josifa Brodskiego,1992.0,
166139,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Miss baśni. Prem. 1992,,246,Teatr im. Heleny Modrzejewskiej (do 1999: Centrum Sztuki - Teatr Dramatyczny),Reż. aut.,,,,Miss baśni,1992.0,
166141,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Zdrady miłosne. Prem. 1992,,908,Państwowa Wyższa Szkoła Teatralna im. L. Solskiego,Tł. Tadeusz Boy-Żeleński. Reż. Robert Czechowski,,,,Zdrady miłosne,1992.0,
166171,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Człowiek z La Manczy. Prem. 1992,,852,Teatr im. J. Osterwy,Tł. Antoni Marianowicz i Janusz Minkiewicz. Reż. Andrzej Rozhin,,,,Człowiek z La Manczy,1992.0,
166175,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Pinokio. Prem. 1992,,853,Teatr im. H.Ch. Andersena (dawniej Teatr Lalki i Aktora im. H.Ch. Andersena),Reż. Andrzej Ludwik Jóźwicki,,,,Pinokio,1992.0,
166183,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Johannes doktor Faust.Prem. 1992,,853,Teatr im. H.Ch. Andersena (dawniej Teatr Lalki i Aktora im. H.Ch. Andersena),Tł. i reż. Włodzimierz Fełenczak,,,,Johannes doktor Faust,1992.0,
166188,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Koziołek Matołek. Prem. 1992,,853,Teatr im. H.Ch. Andersena (dawniej Teatr Lalki i Aktora im. H.Ch. Andersena),Adapt. i reż. Zdzisław Rej,,,,Koziołek Matołek,1992.0,
166382,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Jak królewna w zgadywanki grała. Prem. 1992,,865,Teatr Lalki i Aktora*,Tł. Józef Waczków. Adapt. i reż. Wojciech Olejnik,,,,Jak królewna w zgadywanki grała,1992.0,
166385,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Czupurek. Prem. 1992,,854,Teatr im. S. Jaracza,Reż. Waldemar Wolański,,,,Czupurek,1992.0,
166386,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Droga do Mekki. Prem. 1992,,854,Teatr im. S. Jaracza,Tł. Małgorzta Semil. Reż. Tadeusz Junak,,,,Droga do Mekki,1992.0,
166391,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Wieczór tzrech króli. Prem. 1992,,858,Teatr Nowy im. K. Dejmka (do 2008: Teatr Nowy),Tł. Stanisław Dygat. Reż. Remigiusz Caban,,,,Wieczór tzrech króli,1992.0,
166394,1992,449,"Teatry od 1945 r. (omówienia, repertuar)","Don Juan, czyli Kamienny Gość. Prem. 1992",,858,Teatr Nowy im. K. Dejmka (do 2008: Teatr Nowy),Tł. Tadeusz Boy-Żeleński. Reż. Robert Cantarella,,,,"Don Juan, czyli Kamienny Gość",1992.0,
166400,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Pastorałka. Prem. 1992,,858,Teatr Nowy im. K. Dejmka (do 2008: Teatr Nowy),Reż. Barbara Fijewska,,,,Pastorałka,1992.0,
166480,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Sakramencka ulewa. Prem. 1992,,858,Teatr Nowy im. K. Dejmka (do 2008: Teatr Nowy),Reż. Dariusz Wiktorowicz,,,,Sakramencka ulewa,1992.0,
166485,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Tutam. Prem. 1992,,859,Teatr Powszechny,Reż. Jacek Orłowski,,,,Tutam,1992.0,
166487,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Karmaniola. Prem. 1992,,859,Teatr Powszechny,Reż. Marek Sikora,,,,Karmaniola,1992.0,
166488,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Moralność pani Dulskiej. Prem. 1992,,859,Teatr Powszechny,Reż. Ewa Mirowska,,,,Moralność pani Dulskiej,1992.0,
166489,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Bajki samograjki. Prem. 1992,,859,Teatr Powszechny,Reż. Henryk Adamek,,,,Bajki samograjki,1992.0,
166493,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Ania z Zielonego Wzgórza. Prem. 1992,,859,Teatr Powszechny,"Tł. Róża Bernsteinowa. Adapt. Henryka Królikowska, Maciej Wojtyszko. Reż. Maciej Korwin",,,,Ania z Zielonego Wzgórza,1992.0,
166551,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Miłość i gniew. Prem. 1992,,859,Teatr Powszechny,Tł. Wacława Komarnicka i Krystyna Tarnowska. Reż. Jerzy Scheybal,,,,Miłość i gniew,1992.0,
166552,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Kurs mistrzowski. Prem. 1992,,860,Teatr Studyjny '83 im. J. Tuwima,Tł. Elzbieta Jasińska. Reż. Tadeusz Junak,,,,Kurs mistrzowski,1992.0,
166554,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Niezwykłe przygody Pana Kleksa. Prem. 1992,,860,Teatr Studyjny '83 im. J. Tuwima,Reż. Konrad Szachnowski,,,,Niezwykłe przygody Pana Kleksa,1992.0,
166556,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Architekt i cesarz Asyrii. Prem. 1992,,860,Teatr Studyjny '83 im. J. Tuwima,Tł. i reż. Piotr Bikont,,,,Architekt i cesarz Asyrii,1992.0,
166558,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Róbmy to razem. Prem. 1992,,863,"Teatr Lalek ""Arlekin""",Reż. aut.,,,,Róbmy to razem,1992.0,
166560,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Wielka draka o drogowych znakach. Prem. 1992,,863,"Teatr Lalek ""Arlekin""",Reż. Joanna i Jerzy Stasiewiczowie,,,,Wielka draka o drogowych znakach,1992.0,
166561,1992,449,"Teatry od 1945 r. (omówienia, repertuar)",Przekładaniec bajkowy. Prem. 1992,,863,"Teatr Lalek ""Arlekin""",Reż. aut.,,Wg wierszy Wiery Badalskiej,,Przekładaniec bajkowy,1992.0,
